Тайтл,Общее время (ч.),Количество просмотров,Количество платных просмотров,Среднее время (сек),Binge-Watch Rate,Средняя глубина просмотра тайтла (%),Источник: Главная (%),Источник: Пуш (%),Источник: Список эпизодов (%),Источник: Следующий эпизод (%),Источник: Диплинк (%),Источник: Лента (%),Источник: История (%),Источник: Поиск (%),Источник: Жанр (%),Источник: Избранное (%),Источник: Карусель (%),Источник: Внутри подборки (%),Источник: Каталог (%),Источник: Предыдущий эпизод (%),Retention 3 (%),Retention 5 (%),Retention 10 (%),Retention 15 (%),Источник: Подборка (%),Retention 30 (%),Источник: Внутри карусели (%)
Садко,29.59777777777778,2618,41,40.69977081741788,3.2203389830508473,4.680314802914347,1.2987012987012987,0.03819709702062643,1.2605042016806722,59.16730328495034,0.26737967914438504,10.733384262796028,0.4965622612681436,3.628724216959511,0.878533231474408,0.07639419404125286,0.0,2.4446142093200915,6.340718105423988,2.2536287242169597,77.69289533995416,69.55691367456073,60.236822001527884,55.080213903743314,11.03896103896104,47.975553857906796,0.0
Волга Волга,29.24111111111111,2009,38,52.39820806371329,3.0980392156862746,4.321346469622331,0.34843205574912894,0.0,0.9457441513190642,61.075161772025886,0.0,17.122946739671477,0.1991040318566451,2.73768043802887,1.9412643106022898,0.0,0.0,2.538576406172225,7.267297162767546,1.1946241911398705,79.59183673469387,70.48282727725237,61.47336983573917,56.346441015430564,4.579392732702837,51.26928820308611,0.0
Faded Threads,29.109166666666667,1608,2,65.16977611940298,2.3076923076923075,6.029967719104421,0.12437810945273632,0.0,0.24875621890547264,4.477611940298507,0.0,20.398009950248756,0.12437810945273632,0.31094527363184077,0.0,0.0,0.0,0.0,2.611940298507463,0.373134328358209,82.71144278606965,77.79850746268657,73.19651741293532,71.70398009950249,0.0,70.39800995024876,0.0
Fisherman Ceo,29.0575,2649,0,39.48924122310306,4.570815450643777,11.375828525754304,0.0,0.0,0.41525103812759534,67.6481691204228,1.5855039637599093,6.719516798791997,0.11325028312570781,0.3020007550018875,0.07550018875047187,0.0,4.794261985654964,0.03775009437523594,0.1887504718761797,3.2465081162702907,81.31370328425821,73.0086825217063,64.62816157040393,59.41864854662137,3.1710079275198186,51.49112872782182,0.0
The Crown,28.54361111111111,2479,20,41.45098830173457,4.148387096774194,2.8155811730871245,0.5244050020169423,0.12101653892698669,2.2186365469947558,49.778136345300524,0.927793465106898,16.498588140379184,0.24203307785397338,0.8874546187979023,0.12101653892698669,4.921339249697459,0.0,1.492537313432836,4.235578862444534,2.016942315449778,81.56514723678903,72.00484066155708,60.66962484872933,56.27269060104881,15.772488906817266,50.786607503025415,0.0
The Marriage Contract,27.68888888888889,2495,22,39.95190380761523,3.752577319587629,1.8915472431382074,1.5230460921843687,0.12024048096192384,1.122244488977956,53.587174348697395,1.122244488977956,15.31062124248497,0.08016032064128256,0.6813627254509018,1.3226452905811623,0.16032064128256512,0.0,4.7695390781563125,5.290581162324649,1.8036072144288577,83.60721442885772,72.78557114228457,60.56112224448898,52.18436873747495,12.82565130260521,43.40681362725451,0.0
Тимур и его команда,25.758333333333333,1749,28,53.0188679245283,2.870967741935484,5.114298194525334,0.743281875357347,0.0,1.3722126929674099,57.34705546026301,0.0,17.667238421955403,0.17152658662092624,1.429388221841052,1.9439679817038307,0.0,0.0,5.660377358490566,6.003430531732419,2.058319039451115,79.13093196112064,69.58261863922242,59.63407661520869,54.259576901086334,5.4888507718696395,48.256146369353914,0.0
Trial Marriage to A Billionaire. Season 1,25.42388888888889,1951,25,46.912352639671965,3.9,3.0255008673944315,1.7939518195797026,0.10251153254741159,1.6401845207585855,57.81650435674013,2.1014864172219374,16.96565863659662,0.15376729882111737,0.8200922603792927,1.2813941568426448,0.051255766273705795,0.6150691952844695,2.6652998462327013,2.972834443874936,1.5889287544848796,80.16401845207587,71.50179395181958,62.32701178882624,58.12403895438237,7.124551512045105,52.99846232701179,0.0
Echoes of Vengeance,24.639722222222222,2524,31,35.14381933438986,3.4869565217391303,2.338622078798616,0.39619651347068147,0.0,1.2678288431061806,54.318541996830426,0.0,17.31378763866878,0.35657686212361334,0.35657686212361334,0.23771790808240886,0.0,0.0,1.0301109350237718,2.416798732171157,2.179080824088748,78.76386687797148,68.81933438985737,57.44849445324881,52.09984152139461,19.057052297939777,43.38351822503962,0.0
Дети капитана Гранта,23.49111111111111,1676,15,50.4582338902148,2.73943661971831,4.086259464526448,0.17899761336515513,0.0,1.3723150357995226,52.2673031026253,0.0,16.646778042959426,0.11933174224343675,1.909307875894988,1.909307875894988,0.0,0.0,1.9689737470167064,9.009546539379475,3.4009546539379474,80.25059665871122,71.83770883054892,62.11217183770883,57.279236276849645,10.918854415274463,51.133651551312646,0.0
